Rank,Name,Association,Rcellc,PID
212,ROSSI Carlo,ITA,66,120285
213,DIAW Ibrahima,SEN,65,113681
214,KOLODZIEJCZYK Maciej,AUT,65,122064
215,PLETEA Cristian,ROU,64,121042
216,RAKOTOARIMANANA Fabio,MAD,63,133367
217,HSU Hsien-Chia,TPE,63,145043
218,ARPAS Samuel,SVK,61,137564
219,NOGUTI Henrique,BRA,60,136409
220,LIANG Jishan,USA,60,121222
221,FILUS Ruwen,GER,59,102761
222,TSENG Tzu-Yu,TPE,59,136984
223,GHOSH Anirban,IND,57,119042
224,WALKER Samuel,ENG,56,114718
225,LI Yan Jun,TPE,56,136056
226,LEI Balazs,HUN,56,135678
227,KIASSI Regis,CGO,55,120787
228,ABRAHAMS Luke,RSA,55,100089
229,ARAYA Daniel,CRC,55,134097
230,IDOWU Saheed,CGO,55,114457
231,JANG Seongil,KOR,55,132172
232,KOURAICHI Alexis,FRA,55,136116
233,PERALES Jose,PER,54,146060
234,CHEN Junsong,CHN,54,204288
235,HODAEI Amir Hossein,IRI,54,131484
236,KIM Woojin,KOR,54,131412
237,SCHWEIGER Tom,GER,54,143586
238,PANTOJA Miguel,ESP,54,133627
239,BETELU Remi,FRA,53,133671
240,OEHME Benno,GER,53,136567
241,ANDERSEN Martin,DEN,53,131176
242,POLANSKY Tomas,CZE,51,116798
243,VILARDELL Albert,ESP,51,131723
244,FEI Junhang,CHN,50,203068
245,LUO Jiecheng,CHN,50,209954
246,HIDALGO Rodrigo,PER,50,122607
247,REMBERT Bastien,FRA,50,122095
248,TANG Yiren,CHN,50,206221
249,DANI Mudit,IND,50,116758
250,YOSHIMURA Kazuhiro,JPN,49,123962
251,MOSTAFA Badr,EGY,49,135595
252,MOVILEANU Darius,ROU,49,134693
253,YANG Hao-Jen,TPE,49,137068
254,LIANG Yanning,CHN,48,135887
255,SGOUROPOULOS Ioannis,GRE,48,121693
256,QUAN Kaiyuan,CHN,48,135886
257,CASSIN Alexandre,FRA,47,117003
258,KANG Dongsoo,KOR,47,120845
259,SZANTOSI David,HUN,46,136005
260,DOTI Felipe,BRA,46,200389
261,GREEN Connor,ENG,46,137863
262,HAM Yu Song,PRK,45,132880
263,YEE Joshua,FIJ,45,135693
264,ZHANG Bei Yan,FIJ,45,202989
265,WU Vicky,FIJ,45,123935
266,MORISSEAU Jerome,NCL,45,106344
267,SENYONGA Jonathan,UGA,45,145238
268,ANKUNDA Samuel,UGA,45,202168
269,HUANG Xunan,CHN,45,202981
270,BELLA Maheidine,ALG,45,137316
271,KUBIK Maciej,POL,45,131671
272,YIGENLER Abdullah,TUR,45,119585
273,LAM Nathan,FRA,45,144530
274,ABIODUN Tiago,POR,44,137630
275,PRADHIVADHI Abhinandh,IND,44,144615
276,LEE Jungmok,KOR,44,135074
277,CHUA Josh,SGP,43,133850
278,AO Hualei,CHN,41,145743
279,MISHRA Sarth,IND,41,145454
280,MOURIER Flavio,FRA,41,144529
281,BLASZCZYK Marcel,POL,41,200667
282,WANG Kaibo,CHN,40,210321
283,CAMPOS Jorge,CUB,40,112121
284,PAL Akash,IND,40,137242
285,LIN Yen-Chun,TPE,40,133827
286,KESHAVARZI Amirmahdi,IRI,40,202408
287,PUTUNTICA Andrei,MDA,39,117865
288,DRINKHALL Paul,ENG,39,102380
289,AKKUZU Can,FRA,38,116612
290,ALFREDSSON Isak,SWE,38,134606
291,MORENO Steven,PUR,37,146306
292,KHALOUFI Mohamed,TUN,37,136144
293,OTALVARO Emanuel,COL,37,145404
294,RIOS Enrique,PUR,37,146307
295,PALUSEK Samuel,SVK,37,135529
296,KENZHIGULOV Aidos,KAZ,36,131150
297,BENKO Leon,CRO,36,136687
298,ASSAR Khalid,EGY,35,111959
299,LAINE Clement CAMPINO,FRA,35,203958
300,KORANI Ahmed,QAT,35,135384
301,WANG Zining,CHN,34,206220
302,KAWAKAMI Ryuusei,JPN,34,145264
303,LILLO Diego,ESP,34,133628
304,BAGGALEY Andrew,ENG,33,100817
305,ZELINKA Jakub,SVK,33,121869
